,0
0,4.79
1,4.79
2,4.79
3,4.79
4,4.79
5,4.79
6,4.79
7,4.789999999999999
8,4.79
9,4.79
10,4.79
11,4.79
12,4.789999999999999
13,4.79
14,4.79
15,4.79
16,4.79
17,4.79
18,4.79
19,4.79
20,4.79
21,4.79
22,4.79
23,4.79
24,4.79
25,4.79
26,4.79
27,4.790000000000001
28,4.79
29,4.790000000000001
30,4.790000000000001
31,4.790000000000001
32,4.790000000000001
33,4.790000000000001
34,4.790000000000001
35,4.790000000000001
36,4.790000000000001
37,4.790000000000002
38,4.790000000000002
39,4.790000000000002
40,4.790000000000002
41,4.790000000000002
42,4.790000000000002
43,4.790000000000002
44,4.790000000000002
45,4.790000000000002
46,4.790000000000002
47,4.790000000000003
48,4.790000000000003
49,4.790000000000003
50,4.790000000000003
51,4.790000000000002
52,4.790000000000003
53,4.790000000000003
54,4.790000000000003
55,4.790000000000003
56,4.790000000000003
57,4.790000000000003
58,4.790000000000003
59,4.790000000000003
60,4.790000000000003
61,4.790000000000003
62,4.790000000000004
63,4.790000000000004
64,4.790000000000003
65,4.790000000000003
66,4.790000000000004
67,4.790000000000003
68,4.790000000000003
69,4.790000000000003
70,4.790000000000003
71,4.790000000000002
72,4.790000000000002
73,4.790000000000002
74,4.790000000000002
75,4.790000000000002
76,4.790000000000002
77,4.790000000000001
78,4.790000000000002
79,4.790000000000002
80,4.790000000000001
81,4.790000000000002
82,4.790000000000002
83,4.790000000000002
84,4.790000000000002
85,4.790000000000002
86,4.790000000000002
87,4.790000000000002
88,4.790000000000001
89,4.790000000000001
90,4.790000000000001
91,4.790000000000001
92,4.790000000000001
93,4.790000000000001
94,4.790000000000001
95,4.790000000000001
96,4.790000000000001
97,4.790000000000001
98,4.790000000000001
99,4.79
100,4.79
101,4.79
102,4.79
103,4.79
104,4.79
105,4.79
106,4.79
107,4.79
108,4.79
109,4.790000000000001
110,4.790000000000001
111,4.790000000000001
112,4.790000000000001
113,4.79
114,4.790000000000001
115,4.79
116,4.79
117,4.789999999999999
118,4.79
119,4.79
120,4.79
121,4.79
122,4.79
123,4.79
124,4.79
125,4.79
126,4.79
127,4.79
128,4.789999999999999
129,4.789999999999999
130,4.79
131,4.789999999999999
132,4.789999999999999
133,4.79
134,4.789999999999999
135,4.789999999999999
136,4.79
137,4.79
138,4.79
139,4.79
140,4.79
141,4.789999999999999
142,4.79
143,4.79
144,4.789999999999999
145,4.789999999999999
146,4.789999999999999
147,4.79
148,4.79
149,4.79
150,4.79
151,4.79
152,4.789999999999999
153,4.789999999999999
154,4.789999999999999
155,4.789999999999999
156,4.789999999999999
157,4.79
158,4.789999999999999
159,4.79
160,4.79
161,4.79
162,4.79
163,4.79
164,4.79
165,4.79
166,4.79
167,4.79
168,4.79
169,4.789999999999999
170,4.789999999999999
171,4.79
172,4.789999999999999
173,4.789999999999999
174,4.789999999999999
175,4.789999999999999
176,4.79
177,4.789999999999999
178,4.789999999999999
179,4.789999999999999
180,4.789999999999999
181,4.79
182,4.79
183,4.789999999999999
184,4.789999999999999
185,4.789999999999999
186,4.789999999999999
187,4.789999999999999
188,4.789999999999999
189,4.789999999999998
190,4.789999999999999
191,4.789999999999999
192,4.79
193,4.79
194,4.789999999999999
195,4.789999999999999
196,4.789999999999999
197,4.789999999999999
198,4.789999999999999
199,4.789999999999999
200,4.789999999999999
201,4.789999999999999
202,4.789999999999999
203,4.789999999999999
204,4.789999999999998
205,4.789999999999999
206,4.789999999999998
207,4.789999999999999
208,4.789999999999998
209,4.789999999999998
210,4.789999999999998
211,4.789999999999998
212,4.789999999999998
213,4.789999999999998
214,4.789999999999998
215,4.789999999999998
216,4.789999999999998
217,4.789999999999998
218,4.789999999999998
219,4.789999999999998
220,4.789999999999998
221,4.789999999999998
222,4.789999999999998
223,4.789999999999998
224,4.789999999999998
225,4.789999999999998
226,4.789999999999997
227,4.789999999999998
228,4.789999999999998
229,4.789999999999998
230,4.789999999999997
231,4.789999999999997
232,4.789999999999997
233,4.789999999999997
234,4.789999999999997
235,4.789999999999998
236,4.789999999999998
237,4.789999999999998
238,4.789999999999998
239,4.79
